2020-09-23 19:59:14,082 - 2 - INFO - 页面"傲游浏览器3下载-傲游浏览器3官方版-QQ下载站"跳转正常,该类元素共165个，当前第21个
2020-09-23 19:59:20,227 - 2 - INFO - 页面"大姐大模拟器最新版下载_大姐大模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第22个
2020-09-23 19:59:26,382 - 2 - INFO - 页面"Vagaa哇嘎下载-Vagaa哇嘎官方版-QQ下载站"跳转正常,该类元素共165个，当前第23个
2020-09-23 19:59:32,540 - 2 - INFO - 页面"mugen模拟器最新版下载_mugen模拟器安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第24个
2020-09-23 19:59:38,721 - 2 - INFO - 页面"11号甲板铁路2最新版下载_11号甲板铁路2安卓版下载_QQ下载站"跳转正常,该类元素共165个，当前第25个
2020-09-23 19:59:44,852 - 2 - INFO - 页面"子网掩码计算器下载-子网掩码计算器免费版-QQ下载站"跳转正常,该类元素共165个，当前第26个
2020-09-23 19:59:50,979 - 2 - INFO - 页面"NetTerm下载-NetTerm绿色版-QQ下载站"跳转正常,该类元素共165个，当前第27个
2020-09-23 19:59:57,125 - 2 - INFO - 页面"magnetizer下载-magnetizer汉化版-QQ下载站"跳转正常,该类元素共165个，当前第28个
2020-09-23 20:00:03,305 - 2 - INFO - 页面"le浏览器下载-le浏览器绿色版-QQ下载站"跳转正常,该类元素共165个，当前第29个
2020-09-23 20:00:09,473 - 2 - INFO - 页面"i酷PC版下载-i酷PC版官方版-QQ下载站"跳转正常,该类元素共165个，当前第30个
2020-09-23 20:00:15,615 - 2 - INFO - 页面"Iis下载-Iis官方免费版-QQ下载站"跳转正常,该类元素共165个，当前第31个
2020-09-23 20:00:21,737 - 2 - INFO - 页面"hosts修改器下载-hosts修改器官方版-QQ下载站"跳转正常,该类元素共165个，当前第32个
2020-09-23 20:00:27,891 - 2 - INFO - 页面"智能配色APP最新版下载_智能配色APP官方版1.3下载_QQ下载站"跳转正常,该类元素共165个，当前第33个
2020-09-23 20:00:34,040 - 2 - INFO - 页面"摩力极速下载-摩力极速免费版-QQ下载站"跳转正常,该类元素共165个，当前第34个
2020-09-23 20:00:40,219 - 2 - INFO - 页面"路由IP自动更换者下载-路由IP自动更换者免费版-QQ下载站"跳转正常,该类元素共165个，当前第35个
2020-09-23 20:00:46,365 - 2 - INFO - 页面"极速酷6下载-极速酷6免费版-QQ下载站"跳转正常,该类元素共165个，当前第36个
2020-09-23 20:00:52,505 - 2 - INFO - 页面"购物兔浏览器下载-购物兔浏览器免费版-QQ下载站"跳转正常,该类元素共165个，当前第37个
2020-09-23 20:00:58,653 - 2 - INFO - 页面"方配网站服务器下载-方配网站服务器免费版-QQ下载站"跳转正常,该类元素共165个，当前第38个
2020-09-23 20:01:04,812 - 2 - INFO - 页面"端口扫描工具下载-端口扫描工具绿色版-QQ下载站"跳转正常,该类元素共165个，当前第39个
2020-09-23 20:01:10,975 - 2 - INFO - 页面"豆瓣fm桌面版下载-豆瓣fm桌面版免费版-QQ下载站"跳转正常,该类元素共165个，当前第40个
2020-09-23 20:01:17,157 - 2 - INFO - 页面"电信网通转换器下载-电信网通转换器免费版-QQ下载站"跳转正常,该类元素共165个，当前第41个
2020-09-23 20:01:23,337 - 2 - INFO - 页面"暴雪下载器下载-暴雪下载器官方版-QQ下载站"跳转正常,该类元素共165个，当前第42个
2020-09-23 20:01:29,518 - 2 - INFO - 页面"傲游浏览器3下载-傲游浏览器3官方版-QQ下载站"跳转正常,该类元素共165个，当前第43个
2020-09-23 20:01:35,674 - 2 - INFO - 页面"Vagaa哇嘎下载-Vagaa哇嘎官方版-QQ下载站"跳转正常,该类元素共165个，当前第44个
2020-09-23 20:01:41,821 - 2 - INFO - 页面"子网掩码计算器下载-子网掩码计算器免费版-QQ下载站"跳转正常,该类元素共165个，当前第45个
2020-09-23 20:01:48,010 - 2 - INFO - 页面"NetTerm下载-NetTerm绿色版-QQ下载站"跳转正常,该类元素共165个，当前第46个
2020-09-23 20:01:54,168 - 2 - INFO - 页面"magnetizer下载-magnetizer汉化版-QQ下载站"跳转正常,该类元素共165个，当前第47个
2020-09-23 20:02:00,351 - 2 - INFO - 页面"le浏览器下载-le浏览器绿色版-QQ下载站"跳转正常,该类元素共165个，当前第48个
2020-09-23 20:02:06,510 - 2 - INFO - 页面"i酷PC版下载-i酷PC版官方版-QQ下载站"跳转正常,该类元素共165个，当前第49个
2020-09-23 20:02:12,644 - 2 - INFO - 页面"Iis下载-Iis官方免费版-QQ下载站"跳转正常,该类元素共165个，当前第50个
2020-09-23 20:02:18,790 - 2 - INFO - 页面"hosts修改器下载-hosts修改器官方版-QQ下载站"跳转正常,该类元素共165个，当前第51个
2020-09-23 20:02:24,930 - 2 - INFO - 页面"芝麻快译专业版下载-芝麻快译专业版官方版-QQ下载站"跳转正常,该类元素共165个，当前第52个
2020-09-23 20:02:31,126 - 2 - INFO - 页面"芝麻快译下载-芝麻快译官方版-QQ下载站"跳转正常,该类元素共165个，当前第53个
2020-09-23 20:02:37,290 - 2 - INFO - 页面"小米网盘下载-小米网盘官方版-QQ下载站"跳转正常,该类元素共165个，当前第54个
2020-09-23 20:02:43,467 - 2 - INFO - 页面"网络精灵下载-网络精灵免费版-QQ下载站"跳转正常,该类元素共165个，当前第55个
2020-09-23 20:02:49,586 - 2 - INFO - 页面"阿云浏览器下载-阿云浏览器官方版-QQ下载站"跳转正常,该类元素共165个，当前第56个
2020-09-23 20:02:55,732 - 2 - INFO - 页面"ZOOK NSF to eml Converter下载-ZOOK NSF to eml Converter官方版-QQ下载站"跳转正常,该类元素共165个，当前第57个
